Date,Regime_SG,Regime_Rot,Regime_Fuj,Regime_Hou,Regime_Pan
2019-09-06,,,,,
2019-09-13,Jump,Base,Jump,,
2019-09-20,Jump,Jump,Base,,
2019-09-27,Jump,Base,Base,,
2019-10-04,Jump,Jump,Jump,,
2019-10-11,Jump,Base,Jump,,
2019-10-18,Base,Jump,Base,,
2019-10-25,Base,Base,Base,Jump,
2019-11-01,Base,Base,Jump,Jump,
2019-11-08,Base,Base,Base,Base,
2019-11-15,Jump,Base,Jump,Jump,
2019-11-22,Base,Base,Jump,Base,
2019-11-29,Base,Base,Base,Jump,Base
2019-12-06,Jump,Base,Base,Base,Base
2019-12-13,Base,Base,Base,Jump,Jump
2019-12-20,Jump,Jump,Jump,Jump,Base
2019-12-27,Jump,Base,Jump,Base,Base
2020-01-03,Jump,Base,Jump,Jump,Base
2020-01-10,Base,Jump,Jump,Base,Base
2020-01-17,Jump,Jump,Jump,Jump,Jump
2020-01-24,Jump,Jump,Jump,Jump,Jump
2020-01-31,Jump,Jump,Jump,Jump,Jump
2020-02-07,Base,Base,Jump,Jump,Jump
2020-02-14,Jump,Base,Base,Base,Jump
2020-02-21,Base,Base,Jump,Base,Base
2020-02-28,Jump,Jump,Jump,Base,Base
2020-03-06,Base,Base,Jump,Base,Jump
2020-03-13,Base,Jump,Jump,Base,Base
2020-03-20,Jump,Jump,Jump,Jump,Jump
2020-03-27,Base,Base,Base,Jump,Base
2020-04-03,Base,Base,Base,Base,Base
2020-04-10,Base,Base,Base,Base,Jump
2020-04-17,Base,Jump,Base,Base,Base
2020-04-24,Base,Base,Base,Base,Base
2020-05-01,Jump,Base,Base,Base,Base
2020-05-08,Base,Base,Base,Base,Base
2020-05-15,Base,Base,Base,Base,Base
2020-05-22,Base,Base,Base,Base,Base
2020-05-29,Base,Base,Base,Base,Base
2020-06-05,Base,Base,Base,Base,Base
2020-06-12,Base,Base,Base,Base,Base
2020-06-19,Base,Base,Jump,Base,Base
2020-06-26,Base,Jump,Base,Base,Base
2020-07-03,Base,Base,Base,Base,Base
2020-07-10,Base,Base,Base,Base,Base
2020-07-17,Base,Base,Base,Base,Base
2020-07-24,Base,Base,Base,Base,Base
2020-07-31,Base,Base,Base,Base,Base
2020-08-07,Base,Base,Base,Base,Base
2020-08-14,Base,Base,Base,Base,Base
2020-08-21,Base,Base,Base,Base,Base
2020-08-28,Base,Base,Base,Base,Base
2020-09-04,Base,Base,Base,Base,Base
2020-09-11,Base,Base,Base,Base,Base
2020-09-18,Base,Base,Base,Base,Base
2020-09-25,Base,Base,Jump,Base,Base
2020-10-02,Base,Base,Base,Base,Base
2020-10-09,Base,Base,Base,Jump,Base
2020-10-16,Base,Base,Base,Base,Base
2020-10-23,Base,Base,Base,Base,Base
2020-10-30,Base,Base,Base,Base,Base
2020-11-06,Base,Base,Base,Base,Base
2020-11-13,Base,Jump,Base,Base,Base
2020-11-20,Base,Base,Base,Base,Base
2020-11-27,Base,Base,Base,Base,Base
2020-12-04,Base,Base,Base,Base,Base
2020-12-11,Base,Base,Base,Base,Base
2020-12-18,Base,Base,Base,Base,Base
2020-12-25,Base,Base,Base,Base,Base
2021-01-01,Base,Base,Base,Base,Base
2021-01-08,Base,Base,Base,Base,Base
2021-01-15,Base,Base,Base,Base,Base
2021-01-22,Base,Base,Base,Base,Base
2021-01-29,Base,Base,Base,Base,Base
2021-02-05,Base,Base,Base,Base,Base
2021-02-12,Base,Base,Base,Jump,Base
2021-02-19,Base,Base,Base,Base,Base
2021-02-26,Base,Base,Base,Base,Base
2021-03-05,Base,Base,Base,Base,Base
2021-03-12,Base,Base,Base,Base,Base
2021-03-19,Base,Base,Base,Base,Base
2021-03-26,Base,Base,Jump,Base,Base
2021-04-02,Base,Base,Base,Base,Base
2021-04-09,Base,Base,Base,Base,Base
2021-04-16,Base,Base,Base,Base,Base
2021-04-23,Base,Base,Base,Jump,Base
2021-04-30,Base,Base,Base,Base,Jump
2021-05-07,Base,Base,Base,Base,Base
2021-05-14,Base,Base,Base,Base,Base
2021-05-21,Base,Base,Base,Base,Base
2021-05-28,Base,Base,Base,Base,Base
2021-06-04,Base,Base,Base,Base,Base
2021-06-11,Base,Base,Base,Base,Base
2021-06-18,Base,Base,Base,Base,Base
2021-06-25,Base,Base,Base,Base,Base
2021-07-02,Base,Base,Base,Base,Base
2021-07-09,Base,Base,Base,Base,Base
2021-07-16,Base,Base,Base,Base,Base
2021-07-23,Base,Base,Base,Base,Jump
2021-07-30,Base,Base,Base,Base,Base
2021-08-06,Base,Base,Base,Base,Base
2021-08-13,Base,Base,Base,Base,Base
2021-08-20,Base,Base,Base,Base,Base
2021-08-27,Base,Base,Base,Base,Base
2021-09-03,Base,Base,Base,Base,Base
2021-09-10,Base,Base,Base,Base,Base
2021-09-17,Base,Base,Base,Base,Base
2021-09-24,Base,Base,Base,Jump,Jump
2021-10-01,Base,Base,Base,Base,Base
2021-10-08,Base,Jump,Base,Base,Base
2021-10-15,Jump,Base,Base,Base,Jump
2021-10-22,Jump,Jump,Jump,Jump,Base
2021-10-29,Jump,Base,Base,Base,Jump
2021-11-05,Base,Base,Base,Base,Base
2021-11-12,Base,Base,Base,Base,Base
2021-11-19,Base,Base,Base,Base,Base
2021-11-26,Base,Base,Jump,Base,Jump
2021-12-03,Base,Base,Base,Jump,Jump
2021-12-10,Base,Base,Base,Jump,Base
2021-12-17,Base,Base,Base,Jump,Base
2021-12-24,Base,Base,Base,Jump,Base
2021-12-31,Base,Base,Base,Base,Jump
